,,,,,,,,,,,,
주 간 식 단 표,,,,,,,,,,,,
,,,7월 1일(수),7월 2일(목),7월 3일(금),7월 4일(토),7월 5일(일),,,,,
"조

식",,,야채볶음밥,백미밥,백미밥,,,,,,,
,,,계란탕,떡국,물만두국,,,,,총 19끼니 중,,
,,,비엔나야채볶음,소불고기,치킨너겟/머스터드,,,,,,,
,,,배추김치,배추김치,배추김치,,,,,상,,7
,,,시리얼*우유,셀프핫도그,모닝빵*두유,,,,,,,
,,,,,,,,,,중,,6
"중

식",,,백미밥,백미밥,흑미밥,백미밥,백미밥,,,하,,6
,,,어묵무국,들깨미역국,건새우된장국,부대찌개,칼국수,,,,,
,,,치킨까스/소스,닭감자조림,제육볶음,삼치카레구이,새우까스/타르소스,,,,,
,,,쫄면무침,꽃맛살샐러드,양배추/강된장,감자채볶음,단무지무침,,,,,
,,,요구르트,치커리무침,아삭고추무침,브로콜리/초장,요플레,,,,,
,,,배추김치,섞박지,배추김치,깍두기,배추김치,,,,,
"석

식",,,백미밥,백미밥,백미밥,백미밥,백미밥,,,,,
,,,얼갈이된장국,수제비,육개장,황태국,콩나물국,,,,,
,,,돈육김치볶음,고둥어무조림,카레소스,돈육꽈리조림,닭당면조림,,,,,
,,,계란찜,야채고로케/케첩,피자왕춘권,미역줄기볶음,후랑크햄볶음,,,,,
,,,숙주나물무침,취나물무침,요거트푸딩,오징어젓갈,깻순겉절이,,,,,
,,,깍두기,배추김치,깍두기,배추김치,섞박지,,,,,
,,,셀프라면,셀프라면,셀프라면,셀프라면,셀프라면,,,,,
상기 메뉴 및 원산지는 기후 및 시장성이나 식재료 수급상황에 따라 변경될 수 있습니다.,,,,,,,,,,,,
"원
산
지","쌀(밥,죽,누룽지): 국내산
현미,찹쌀,흑미: 국내산","돈삼겹: 외국산 
등갈비: 외국산
족발,베이컨: 외국산","돼지(탕,조림,볶음): 국내산","닭(탕,조림,볶음): 국내산","김치(배추,고춧가루): 국내산","콩(두부류,콩가루,콩비지):
중국산 연두부:수입산","고등어: 국내산,노르웨이
주꾸미: 베트남",,,,,
,,,"쇠고기(국,조림,볶음): 호주산 ","오리(훈제,볶음,탕): 국내산","찌개,탕,국
(배추:국내산,고춧가루:중국산)","코다리,동태: 러시아","낙지: 중국산
꽃게: 중국산",,,,,
,,오징어: 국내산/칠레산/중국산,"수산물가공품 및 식육(소,닭,돼지)가공품: 국내산/수입혼용",,"미꾸라지,장어:중국산",갈치:수입산 아귀:중국산,조기: 국산,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
주 간 식 단 표,,,,,,,,,,,,
,7월 6일(월),7월 7일(화),7월 8일(수),7월 9일(목),7월 10일(금),7월 11일(토),7월 12일(일),,,,,
"조

식",후리가케밥,닭죽,백미밥,햄볶음밥,계란죽,,,,,,,
,유부장국,메추리알장조림,맑은순두부국,열무된장국,해물완자전,,,,,총 19끼니 중,,
,모듬소시지볶음,깍두기,돈육장조림,섭산적데리야끼,배추김치,,,,,,,
,배추김치,버터롤빵,배추김치,섞박지,햄버거,,,,,상,,7
,셀프토스트,바나나우유,시리얼*우유,감자샐러드빵,,,,,,,,
,,,,,,,,,,중,,6
"중

식",잡곡밥,백미밥,쇠고기콩나물밥*양념장,백미밥,잡곡밥,백미밥,참치볶음밥,,,하,,6
,장어탕,꽃게탕,얼갈이들깨국,건새우미역국,맑은등뼈탕,닭곰탕,우동,,,,,
,파채언양식불고기,제육고추장불고기,치킨가라아게감자튀김/머스터드,닭치즈떡볶음,코다리무조림,생선까스/타르소스,핫도그/케첩,,,,,
,도토리묵/양념장,상추*쌈장,해초무침,참치야채볶음,잡채어묵조림,메밀면무침,단무지무침,,,,,
