order_id,order_date,region,category,quantity,unit_price,discount,amount,is_high_value
ORD-000000,2025-04-07,Busan,Beauty,6,12609.0,0.0,75654.0,False
ORD-000001,2025-04-08,Busan,Home,1,262252.0,0.05,249139.4,False
ORD-000002,2025-03-01,Gwangju,Beauty,3,34466.0,0.15,87888.3,False
ORD-000003,2025-01-11,Seoul,Electronics,3,127645.0,0.0,382935.0,False
ORD-000004,2025-04-16,Busan,Beauty,3,46037.0,0.0,138111.0,False
ORD-000005,2025-03-22,Busan,Beauty,3,53570.0,0.0,160710.0,False
ORD-000006,2025-03-26,Busan,Food,1,213160.0,0.0,213160.0,False
ORD-000007,2025-01-10,Daegu,Home,1626,67469.0,0.1,98734134.60000001,True
ORD-000008,2025-01-23,Gwangju,Food,6,148304.0,0.0,889824.0,False
ORD-000009,2025-02-05,Seoul,Food,10,149543.0,0.05,1420658.5,False
ORD-000010,2025-04-24,Incheon,Home,7,153894.5,0.0,1077261.5,False
ORD-000011,2025-03-12,Daegu,Food,6,212470.0,0.15,1083597.0,False
ORD-000012,2025-03-24,Seoul,Electronics,1,212602.0,0.0,212602.0,False
ORD-000013,2025-04-20,Incheon,Electronics,9,53312.0,0.0,479808.0,False
ORD-000014,2025-02-12,Seoul,Food,5,252385.0,0.0,1261925.0,False
ORD-000015,2025-01-03,Daegu,Electronics,3,174683.0,0.1,471644.10000000003,False
ORD-000016,2025-02-28,Seoul,Fashion,8,119993.0,0.1,863949.6,False
ORD-000017,2025-03-14,Seoul,Fashion,1,8985.0,0.0,8985.0,False
ORD-000018,2025-02-15,Daegu,Electronics,10,107341.0,0.15,912398.5,False
ORD-000019,2025-01-11,Incheon,Food,7,280292.0,0.0,1962044.0,True
ORD-000020,2025-01-15,Seoul,Food,10,234387.0,0.0,2343870.0,True
ORD-000021,2025-02-17,Daegu,Fashion,10,239159.0,0.1,2152431.0,True
ORD-000022,2025-03-06,Gwangju,Beauty,6,288007.0,0.0,1728042.0,False
ORD-000023,2025-04-13,Gwangju,Home,7,229802.0,0.0,1608614.0,False
ORD-000024,2025-03-31,Busan,Food,8,135378.0,0.15,920570.4,False
ORD-000025,2025-04-27,Daegu,Food,2,38896.0,0.0,77792.0,False
ORD-000026,2025-02-04,Busan,Fashion,8,187275.0,0.05,1423290.0,False
ORD-000027,2025-01-10,Incheon,Fashion,3,200444.0,0.0,601332.0,False
ORD-000028,2025-01-02,Incheon,Electronics,10,43969.0,0.0,439690.0,False
